ID	Accession	Assay Type	Assay Nickname	Target label	Target gene	Biosample summary	Biosample	Description	Lab	Project	Status	Biological replicate	Technical replicate	Linked Antibody	Species	Life stage	Age	Age Units	Treatment	Term ID	Concentration	Concentration units	Duration	Duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Replicates
/experiments/ENCSR000EIS/	ENCSR000EIS	DNase-seq	DNase-seq			skin fibroblast male child (10 years)	skin fibroblast	DNase-seq on human fibroblast (GM03348)	Gregory Crawford, Duke	ENCODE	released	2,1	1		Homo sapiens	child	10	year										/replicates/539bff40-f923-448b-bc97-d91d04779745/,/replicates/a7422ffd-ec95-481a-a636-14c8f7a43732/
/experiments/ENCSR000EKK/	ENCSR000EKK	DNase-seq	DNase-seq			induced pluripotent stem cell female adult (85 years) derived from skin fibroblast	induced pluripotent stem cell	DNase-seq on human iPS NIHi7	Gregory Crawford, Duke	ENCODE	released	2,1,3	1		Homo sapiens	adult	85	year										/replicates/5f1ad86c-33ca-4359-883b-ec50ceb1ceff/,/replicates/bdb961f1-46cb-47ff-abe2-ee2c3f5471f6/,/replicates/ae47098e-5236-4b28-ae75-bbb95e3330f4/
/experiments/ENCSR000EJS/	ENCSR000EJS	DNase-seq	DNase-seq			HeLa-S3 treated with interferon alpha	HeLa-S3	DNase-seq on human HeLa-S3 treated with IFNa for 4 hours	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	adult	31	year	interferon alpha	CHEBI:50847			4.0	hour				/replicates/2b578043-640c-4a0b-b030-fe401df3d274/,/replicates/976c73f6-17f3-48b5-9c33-064e0b468dc9/
/experiments/ENCSR000ELD/	ENCSR000ELD	DNase-seq	DNase-seq			epidermal melanocyte	epidermal melanocyte	Duke human Melano DNase-seq	Gregory Crawford, Duke	ENCODE	released	2,1	1		Homo sapiens	unknown	unknown											/replicates/f9d81e17-8f5c-4660-ac3c-412d8181d70c/,/replicates/127b8b7c-1531-4ec6-93d7-01885b7ece82/
/experiments/ENCSR000ELN/	ENCSR000ELN	DNase-seq	DNase-seq			HGPS cell	HGPS cell	Duke human ProgFib DNase-seq	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	child	8	year										/replicates/0c7f469c-810d-46a1-9c95-d7678f504a3e/,/replicates/f490f6de-3bde-41a2-89da-47e2e34022d8/
/experiments/ENCSR000EJZ/	ENCSR000EJZ	DNase-seq	DNase-seq			myoblast	myoblast	DNase-seq on embryonic human myoblast (HSMM)	Gregory Crawford, Duke	ENCODE	released	2,1	1		Homo sapiens	unknown	unknown											/replicates/55b2cec7-b5ce-42b5-81ff-2fff1262af6f/,/replicates/8ed606b1-3c5b-4c01-bdac-903822b7b262/
/experiments/ENCSR000ELC/	ENCSR000ELC	DNase-seq	DNase-seq			Mel-2183	Mel-2183	DNase-seq human melanoma cell line (Mel 2183)	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	unknown	unknown											/replicates/274bdf28-25c1-4131-848f-69db44289fa2/,/replicates/d6f1ba3d-a1bc-46e0-82e1-39f77ba46dc8/
/experiments/ENCSR000EKR/	ENCSR000EKR	DNase-seq	DNase-seq			K562 treated with sodium butyrate	K562	DNase-seq on human K562 treated with sodium butyrate	Gregory Crawford, Duke	ENCODE	released	2,1	1		Homo sapiens	adult	53	year	sodium butyrate	CHEBI:64103			72.0	hour				/replicates/ea2f4a84-18f2-4434-b01d-812ffb16fe61/,/replicates/e9e95d2b-9c96-4f2e-a409-64a8cae654aa/
/experiments/ENCSR626RVD/	ENCSR626RVD	DNase-seq	DNase-seq			bipolar spindle neuron derived from induced pluripotent stem cell	bipolar spindle neuron		John Stamatoyannopoulos, UW	ENCODE	released	2,1	1		Homo sapiens	adult	53	year										/replicates/e28dd660-7e35-44c9-be06-786f5c2b7e2b/,/replicates/fb8fdb37-845c-469a-84cb-fd1f1c9881f5/
/experiments/ENCSR000EKW/	ENCSR000EKW	DNase-seq	DNase-seq			MCF-7 stably expressing RNAi	MCF-7	DNase-seq on human MCF-7 treated with randomized shRNA control	Gregory Crawford, Duke	ENCODE	released	3,2,1	1		Homo sapiens	adult	69	year										/replicates/40e6c6d9-1bbf-4bca-bbf1-22abed6c6b00/,/replicates/153e5901-515e-4119-96a9-fd1682b4e376/,/replicates/00dc0cd6-2fbd-4eb0-a51e-e072ee9cadf9/
/experiments/ENCSR000EKL/	ENCSR000EKL	DNase-seq	DNase-seq			Ishikawa treated with afimoxifene	Ishikawa	DNase-seq on human ishikawa treated with 4-hydroxy-tamoxifen at 100nM for 30 minutes	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	adult	39	year	afimoxifene	CHEBI:44616			30	minute				/replicates/eb550e4b-8ced-4f5e-a359-d94ba2a7436a/,/replicates/eab59c19-db7a-40bb-a081-0b0c6e7c0cc1/
/experiments/ENCSR000EIH/	ENCSR000EIH	DNase-seq	DNase-seq			aortic smooth muscle cell treated with serum free	aortic smooth muscle cell	DNase-seq on human AoSMC treated with serum free media	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	unknown	unknown		serum free				36	hour				/replicates/8a0e39c1-240d-4d95-aa33-2944e0115605/,/replicates/a3af73b5-86a3-4244-b28a-ae675bd8e586/
/experiments/ENCSR000EKA/	ENCSR000EKA	DNase-seq	DNase-seq			myoblast	myoblast	DNase-seq on human HSMM FSHD	Gregory Crawford, Duke	ENCODE	released	1,3,2	1		Homo sapiens	unknown	unknown											/replicates/8785844e-2984-4ac8-b57f-3988a4c40540/,/replicates/b4254492-ca35-483b-bb76-d81f89fffce3/,/replicates/1dc1fe6c-1702-479f-bd28-3e7298dcf960/
/experiments/ENCSR000ELL/	ENCSR000ELL	DNase-seq	DNase-seq			islet of Langerhans	islet of Langerhans	Duke human PanIslets DNase-seq	Gregory Crawford, Duke	ENCODE	released	1,3,2	1		Homo sapiens	unknown	unknown											/replicates/724575aa-7575-41fa-8fd7-ca72bf92f8b7/,/replicates/624e4d69-6a90-458f-9171-f484bb6e958d/,/replicates/2c36009c-1447-4906-bec6-b0865803f106/
/experiments/ENCSR000EJW/	ENCSR000EJW	DNase-seq	DNase-seq			mammary epithelial cell female	mammary epithelial cell	DNase-seq on human mammary epithelial cell	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	unknown	unknown											/replicates/f65fc2f4-b105-41d3-aed5-5f8bccb373f4/,/replicates/bf179e0e-43f5-4f6e-bf57-c743f8189d5d/
/experiments/ENCSR000ELM/	ENCSR000ELM	DNase-seq	DNase-seq			tracheal epithelial cell	tracheal epithelial cell	DNase-seq on human tracheal epithelial cell (pHTE)	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	unknown	unknown											/replicates/f5f63732-8a10-4790-a98d-592c8918e298/,/replicates/0c368840-07f9-4574-9695-d5b690a89053/
/experiments/ENCSR000EIQ/	ENCSR000EIQ	DNase-seq	DNase-seq			skin fibroblast female child (10 years)	skin fibroblast	Duke human Fibrobl DNase-seq	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	child	10	year										/replicates/8fac6383-8732-4150-8be3-af88951e8e9b/,/replicates/decc56ef-f14b-4f11-b9d9-2501b6861f79/
/experiments/ENCSR000EJN/	ENCSR000EJN	DNase-seq	DNase-seq			H1-hESC	H1-hESC	Duke human H1-hESC DNase-seq	Gregory Crawford, Duke	ENCODE	released	2,1	1		Homo sapiens	embryonic	unknown											/replicates/3f944b25-cc02-4a58-8ef9-9a2c90db169c/,/replicates/831cabfc-9c34-4955-a3c5-ee2aa557f4b1/
/experiments/ENCSR000EIY/	ENCSR000EIY	DNase-seq	DNase-seq			frontal cortex female adult (67 years) and female adult (80 years)	frontal cortex	DNase-seq on human frontal cortex	Gregory Crawford, Duke	ENCODE	released	2,1	1		Homo sapiens	adult	67,80	year										/replicates/2a3ca479-a08b-44a3-b915-c98d93295d8b/,/replicates/b99db6c1-c7cc-4dba-9223-e04befd64d99/
/experiments/ENCSR000ELR/	ENCSR000ELR	DNase-seq	DNase-seq			hepatic stellate cell female adult (59 years)	hepatic stellate cell	DNase-seq on human Stellate	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	adult	59	year										/replicates/4c23e452-4dc4-4723-89c8-be8f5089691b/,/replicates/59ee9b99-286c-4e67-a0ec-6471abe69fe8/
/experiments/ENCSR000EIG/	ENCSR000EIG	DNase-seq	DNase-seq			T-helper 1 cell	T-helper 1 cell	DNase-seq human adult CD4 Th1	Gregory Crawford, Duke	ENCODE	released	2,1	1		Homo sapiens	unknown	unknown											/replicates/4ff04710-9c1b-49b0-bb23-12e433ede27d/,/replicates/b3aaee06-379a-4a78-a86a-e6aaf1ff94a1/
/experiments/ENCSR000EJO/	ENCSR000EJO	DNase-seq	DNase-seq			H7-hESC	H7-hESC	Duke human H7-hESC DNase-seq	Gregory Crawford, Duke	ENCODE	released	1,3,2	1		Homo sapiens	unknown	unknown											/replicates/f064c57c-aa39-4fdb-9354-f0bd0acb6443/,/replicates/17d4b223-cb09-4641-8456-cf62756df8f7/,/replicates/c4b107d2-f3e7-418c-9ab4-c6a8efab2195/
/experiments/ENCSR837VHE/	ENCSR837VHE	DNase-seq	DNase-seq			A549 treated with dexamethasone	A549	DNase-seq on A549 cell line treated with 100 nM dexamethasone for 2 hours.	Tim Reddy, Duke	GGR	released	1,2,4,5	1		Homo sapiens	adult	58	year	dexamethasone	CHEBI:41879			2	hour				/replicates/fa725c47-e0b5-48a0-b90c-8d80f061efc9/,/replicates/35981020-d72b-430e-90e9-d81298ca9e58/,/replicates/f9f0e722-8fff-4acc-948f-c8371cb9a828/,/replicates/7f7a815b-be17-4ac6-8587-a66976d5407d/
/experiments/ENCSR565WPR/	ENCSR565WPR	DNase-seq	DNase-seq			A549 treated with dexamethasone	A549	DNase-seq on A549 cell line treated with 100 nM dexamethasone for 5 hours.	Tim Reddy, Duke	GGR	released	5,2,1,3	1		Homo sapiens	adult	58	year	dexamethasone	CHEBI:41879			5	hour				/replicates/d7074818-6369-4587-8f98-88add658754c/,/replicates/81c593de-2a9b-4d0d-80ea-9860b9f7b7af/,/replicates/f8e15f15-14b3-48f9-98fd-0244e3936d02/,/replicates/6d3a9748-a376-4819-a6ef-93e5b2947eac/
/experiments/ENCSR000ELF/	ENCSR000ELF	DNase-seq	DNase-seq			hTERT-HM	hTERT-HM	Duke human Myometr DNase-seq	Gregory Crawford, Duke	ENCODE	released	2,1	1		Homo sapiens	adult	unknown											/replicates/cf92fcc0-1bb6-41e5-b033-dd4a4740428d/,/replicates/8990ffe6-22d5-493c-b546-840ec496b717/
/experiments/ENCSR000EIM/	ENCSR000EIM	DNase-seq	DNase-seq			B cell	B cell	DNase-seq on human chronic lymphocytic leukemia cell	Gregory Crawford, Duke	ENCODE	released	3,1,2	1		Homo sapiens	unknown	unknown											/replicates/d7bc0144-bbf5-4812-85c6-a42d87ab9918/,/replicates/9312e7e1-8d2c-4f89-8ed8-1f3908ae4ea0/,/replicates/e4f89abe-7db9-446c-9971-ffa595bd7235/
/experiments/ENCSR000EKH/	ENCSR000EKH	DNase-seq	DNase-seq			induced pluripotent stem cell	induced pluripotent stem cell	DNase-seq on human iPS	Gregory Crawford, Duke	ENCODE	released	1,3,2	1		Homo sapiens	unknown	unknown											/replicates/8bf6d047-b503-4337-b693-3a7c5fffd1fa/,/replicates/ef15b85a-2765-4f1b-8916-52dc8a6cd77f/,/replicates/9537061c-05c2-4126-805f-af0922fef754/
/experiments/ENCSR000CHQ/	ENCSR000CHQ	DNase-seq	DNase-seq			129 G1E-ER4 treated with 17β-estradiol	G1E-ER4	DNase-seq on mouse G1E-ER4 differentiated for 24 hours	Ross Hardison, PennState	ENCODE	released	1,2	1		Mus musculus	postnatal	0	day	17β-estradiol	CHEBI:16469			24	hour				/replicates/148e87fe-21f4-443c-9e01-1e12d217e095/,/replicates/5e483859-1e6a-48e1-8d7a-abca7824e041/
/experiments/ENCSR000ELE/	ENCSR000ELE	DNase-seq	DNase-seq			CD14-positive monocyte female	CD14-positive monocyte	Duke human Monocytes-CD14+ DNase-seq	Gregory Crawford, Duke	ENCODE	released	2,1	1		Homo sapiens	unknown	unknown											/replicates/968e8936-cd45-48b0-b296-393a8ee587bb/,/replicates/6d517e71-62d6-4933-8192-9a609beb8c39/
/experiments/ENCSR000CHP/	ENCSR000CHP	DNase-seq	DNase-seq			129 G1E	G1E	PSU mouse G1E DNase-seq	Ross Hardison, PennState	ENCODE	released	1,2	1		Mus musculus	postnatal	0	day										/replicates/5c009205-db8e-461b-9bac-a0d956d61cd7/,/replicates/2558a17c-19f0-4c7d-8563-d4aa5b289efc/
/experiments/ENCSR000ELP/	ENCSR000ELP	DNase-seq	DNase-seq			RWPE1	RWPE1	Duke human RWPE1 DNase-seq	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	adult	54	year										/replicates/6c0fe82b-63f3-475d-84e0-1f5617072e6b/,/replicates/3d4b9810-69d1-434a-8dd8-53e6c596c21b/
/experiments/ENCSR000EJG/	ENCSR000EJG	DNase-seq	DNase-seq			GM13976	GM13976	Duke human GM13976 DNase-seq	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	unknown	20	year										/replicates/ba7bc2b3-eab7-4ba7-9974-6cebd78090df/,/replicates/9bfe84ef-48dd-4314-b600-e94f565761bc/
/experiments/ENCSR000EJJ/	ENCSR000EJJ	DNase-seq	DNase-seq			GM19238	GM19238	Duke human GM19238 DNase-seq	Gregory Crawford, Duke	ENCODE	released	2,1	1		Homo sapiens	unknown	unknown											/replicates/a4985f17-0fd8-49d5-9c37-1f25b32c2932/,/replicates/4d97c002-52d4-47c5-bd2d-24aa5d8ed1dc/
/experiments/ENCSR000EIJ/	ENCSR000EIJ	DNase-seq	DNase-seq			cerebellum male adult (27 years) and male adult (35 years)	cerebellum	DNase-seq on human cerebellum	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	adult	35,27	year										/replicates/28806b99-bc95-43f7-9792-b59baf13604c/,/replicates/4e061d14-de43-46c9-b0d2-d6f424cc5221/
/experiments/ENCSR548MMD/	ENCSR548MMD	DNase-seq	DNase-seq			EH	EH	DNase-seq on cell line BJ (foreskin fibroblasts from a newborn human male).	John Stamatoyannopoulos, UW	ENCODE	released	1,2	5,2,1		Homo sapiens	newborn	unknown											/replicates/c4aeaff2-a6c7-44ce-9003-97355017b853/,/replicates/dd4ffd1a-f9a4-4050-8924-2b773f31b743/,/replicates/67d14f6c-d7fa-48d0-8f6b-38a28dfa593a/,/replicates/069f2a52-322e-48ee-a1f7-06eb12f36648/
/experiments/ENCSR337EDG/	ENCSR337EDG	DNase-seq	DNase-seq			C57BL/6 forebrain embryo (14.5 days)	forebrain	DNase-seq on 14.5 day mixed embryonic mouse forebrain	John Stamatoyannopoulos, UW	ENCODE	released	1,2	1		Mus musculus	embryonic	14.5	day										/replicates/017511f3-e4cb-4067-806b-a54e280c2f8f/,/replicates/3d64bfb5-244c-4ac9-b0ee-9dc274dc34f4/
/experiments/ENCSR095GWE/	ENCSR095GWE	DNase-seq	DNase-seq			stomach male fetal (58 days) and male fetal (76 days)	stomach		John Stamatoyannopoulos, UW	ENCODE	released	2,1	1		Homo sapiens	fetal	76,58	day										/replicates/e7b0ac5f-caf4-42b2-88fd-c4fe62b8d799/,/replicates/cfd850a6-9167-470f-a7a0-7ad4a7b56d40/
/experiments/ENCSR532CRI/	ENCSR532CRI	DNase-seq	DNase-seq			limb fetal (58 days) and fetal (59 days)	limb		John Stamatoyannopoulos, UW	ENCODE	released	1,2	1		Homo sapiens	fetal	58,59	day										/replicates/3af37677-8c8f-44d5-a309-b47b7b7d0cf0/,/replicates/1f677f5d-60d4-4fd1-9117-dfe778b88640/
/experiments/ENCSR759UNY/	ENCSR759UNY	DNase-seq	DNase-seq			tongue female fetal (59 days) and female fetal (76 days)	tongue	DNase-seq on 76 day old fetal female human tongue tissue	John Stamatoyannopoulos, UW	ENCODE	released	1,2	1		Homo sapiens	fetal	76,59	day										/replicates/e3d3409f-dd21-44c8-941f-3fed696de325/,/replicates/e12c2e39-46da-43c8-8dce-897adce0e814/
/experiments/ENCSR000EMC/	ENCSR000EMC	DNase-seq	DNase-seq			fibroblast of the aortic adventitia female	fibroblast of the aortic adventitia	DNase-seq and DGF on human AoAF	John Stamatoyannopoulos, UW	ENCODE	released	1,2	1		Homo sapiens	unknown	unknown											/replicates/1c94f23f-90fe-497c-a69e-2278b441b156/,/replicates/60f8f330-35d7-420c-9e92-0f36a5017727/
/experiments/ENCSR066WZJ/	ENCSR066WZJ	DNase-seq	DNase-seq			kidney fetal (80 days)	kidney		John Stamatoyannopoulos, UW	ENCODE	released	1	1		Homo sapiens	fetal	80	day										/replicates/6b204e81-53ee-4ffb-95da-7d485cbc7b4f/
/experiments/ENCSR066DPD/	ENCSR066DPD	DNase-seq	DNase-seq			C57BL/6 kidney postnatal (0 days)	kidney		John Stamatoyannopoulos, UW	ENCODE	released	2,1	1		Mus musculus	postnatal	0	day										/replicates/9d256afd-2c74-4545-8dd5-6786d3d0c771/,/replicates/4581d10f-832e-4cc3-b2a9-0395d96da5be/
/experiments/ENCSR774TQO/	ENCSR774TQO	DNase-seq	DNase-seq			C57BL/6 embryo embryo (11 day)	embryo		John Stamatoyannopoulos, UW	ENCODE	released	1,2	1		Mus musculus	embryonic	11	day										/replicates/af81ff77-9e3a-48f8-a20b-3c7d6feb827b/,/replicates/5b152fbe-7242-47e7-b07a-3dfcacd868f5/
/experiments/ENCSR946MVP/	ENCSR946MVP	DNase-seq	DNase-seq			SK-N-DZ	SK-N-DZ		John Stamatoyannopoulos, UW	ENCODE	released	1,2	1,2		Homo sapiens	child	2	year										/replicates/56c5bca1-cce8-4372-9ec1-bfcf1800eefe/,/replicates/b133ae3d-dcf0-4f5c-909d-5caedbce14f0/,/replicates/8dbd8180-10e1-42b4-afc6-70c5ecdca45f/,/replicates/c6f0aebd-2560-43bd-99a2-fdbeb7b462ac/
/experiments/ENCSR406EMB/	ENCSR406EMB	DNase-seq	DNase-seq			A549 treated with dexamethasone	A549	DNase-seq on A549 cell line treated with 100 nM dexamethasone for 0.5 hours.	Tim Reddy, Duke	GGR	released	3,1,2,5,4	1		Homo sapiens	adult	58	year	dexamethasone	CHEBI:41879			30	minute				/replicates/ca6b8006-aa06-437a-8971-df4fe86fb6a8/,/replicates/0450479b-54e7-4204-9de7-d3f4351f1d50/,/replicates/da58f63b-8c7f-467d-a21b-d1e9a789f188/,/replicates/aaaa7043-2da2-4124-accc-aeeceda76d07/,/replicates/3137e921-10bd-45ee-893b-5b6aca5d5e1d/
/experiments/ENCSR384KCZ/	ENCSR384KCZ	DNase-seq	DNase-seq			A549 treated with dexamethasone	A549	DNase-seq on A549 cell line treated with 100 nM dexamethasone for 1 hours.	Tim Reddy, Duke	GGR	released	1,2,4,5,3	1		Homo sapiens	adult	58	year	dexamethasone	CHEBI:41879			1	hour				/replicates/efcae006-a36d-4a45-ae37-b4d5e2cf31e6/,/replicates/974f789e-767b-4ba7-992d-39df59ebb1c2/,/replicates/253f73a8-6964-4bc0-bc6b-0c66b92fedf4/,/replicates/534b7a46-bee3-4581-ade9-bc9811ce52a7/,/replicates/97cd5443-bc7c-4e53-bb4d-bff907232de4/
/experiments/ENCSR000EIO/	ENCSR000EIO	DNase-seq	DNase-seq			Ishikawa treated with 17β-estradiol	Ishikawa	DNase-seq on human ECC-1 treated with estradiol at 10nM for 30 minutes. Note: This experiment previously referred to its biosample as ECC-1, however it has been found that all currently available ECC-1 are actually Ishikawa cells (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3432677/).	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	adult	39	year	17β-estradiol	CHEBI:16469			30	minute				/replicates/cc6ad60f-dbd8-486e-bb89-7028e5bfd12a/,/replicates/a307ada1-08b2-4ebd-aefc-4dcbd1ad857e/
/experiments/ENCSR000EKE/	ENCSR000EKE	DNase-seq	DNase-seq			HuH-7.5	HuH-7.5	DNase-seq on human Huh-7.5	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	adult	57	year										/replicates/9d2b5791-44ea-4ce6-acd3-e360d33887c8/,/replicates/e58e5cb6-d444-43cf-b8a5-87e747a3aa21/
/experiments/ENCSR000EJV/	ENCSR000EJV	DNase-seq	DNase-seq			HepG2	HepG2	Duke human HepG2 DNase-seq	Gregory Crawford, Duke	ENCODE	released	2,1,3	1		Homo sapiens	child	15	year										/replicates/2423e3ce-c739-475a-aa7d-c06a880e77ab/,/replicates/f25c22f0-ee1c-48dc-9b7a-b5e882e33ca9/,/replicates/5791da29-d33d-4505-9dcb-01f046ef6bf6/
/experiments/ENCSR000EKV/	ENCSR000EKV	DNase-seq	DNase-seq			MCF-7	MCF-7	DNase-seq on human MCF-7 treated with hypoxia lactic acid control	Gregory Crawford, Duke	ENCODE	released	2,1	1		Homo sapiens	adult	69	year										/replicates/168f8587-d5c6-45eb-86f6-f01af4e885a4/,/replicates/60b48788-0397-4855-8a37-cbc0f22ef2d8/
/experiments/ENCSR000EKY/	ENCSR000EKY	DNase-seq	DNase-seq			MCF-7 treated with lactate	MCF-7	DNase-seq on human MCF-7 treated with hypoxia lactic acid	Gregory Crawford, Duke	ENCODE	released	1,2	1		Homo sapiens	adult	69	year	lactate	CHEBI:24996			24	hour				/replicates/fc8af6ea-5b57-4a4d-9e53-8d59345ac41f/,/replicates/b2e97a6c-6ff2-4859-92f2-841539d77450/
